title,genres,director,country,year,imdb_rating
Август. Восьмого,"военный, боевик, драма",Джаник Файзиев,Россия,2012,5.6
Августовская рапсодия,драма,Акира Куросава,Япония,1991,7.2
Августовские киты,драма,Линдсей Андерсон,США,1987,7.1
Авдотья Павловна,"киноповесть, драма, социальная драма",Александр Муратов,СССР,1966,6.6
Аве Мария,"драма, мелодрама",Людмила Ефименко,Украина,1999,7.4
Авиапочта,"мелодрама, приключения",Ирвин Виллат,США,1925,6.2
"Авель, твой брат","психологическая, драма",Януш Насфетер,Польша,1970,7.1
Аве Цезарь,комедия,Энтони Майкл,США,1994,3.2
Авиатор,"научно-фантастическая, драма",Егор Кончаловский,Россия,2025,4.9
Авиатор,"фильм-биография, драма",Мартин Скорсезе,"США, Германия, Япония",2004,7.5
"Авива, любовь моя",драма,Шеми Зархин,Израиль,2006,7.2
Авиценна,"Биографический фильм, исторический фильм",Камиль Ярматов,СССР,1956,6.2
Австрийка,"драма, исторический фильм",Пьер Гранье-Дефер,Франция,1989,6.1
Австрийское поле,драма,Андрей Черных,СССР,1991,6.6
Австралия,"эпическая, драма",Баз Лурман,"Австралия, США, Великобритания",2008,6.6
Автобус отходит в 6.20,"драма, соцреализм",Ян Рыбковский,Польша,1954,5.4
Автобус,комедия,Арне Скуэн,Норвегия,1961,7
Автобан,боевик,Эрен Криви,"Германия, США, Великобритания",2016,5.7
Автобусная остановка,"комедийная, драма",Джошуа Логан,США,1956,6.3
Аврора,"драма, мелодрама",Оксана Байрак,Украина,2006,6
"Автомобили, которые съели Париж","фильм ужасов, /, комедия",Питер Уир,Австралия,1974,5.6
Автомобиль на крыше,"исторический, комедия, драма, экранизация",Дмитрий Кесаянц,СССР,1980,3.8
Автокатастрофа,"драма, триллер",Дэвид Кроненберг,"Канада, Великобритания",1996,6.4
Автомобиль,"фильм ужасов, фильм-тайна, и, фильм-триллер",Эллиот Силверштейн,США,1977,6.2
Автомат,документальный фильм,Лиза Гурвиц,США,2021,7.8
"Автомобиль, скрипка и собака Клякса","комедия, музыкальный фильм, сказка",Ролан Быков,СССР,1974,6.7
Автомобильные воры,драма,Дж. Стюарт,США,1906,6.6
Автопробег «Париж — Нью-Йорк»,фантастика,Жорж Мельес,"Франция, Нью-Йорк, (съёмки), Германия, Сибирь",1908,5
Автопортрет неизвестного,драма,Вячеслав Криштофович,СССР,1988,6.2
Автор,"драма, комедия",Мануэль Мартин,"Испания, Мексика",2017,6.5
Автора! Автора!,мелодрама,Артур Хиллер,США,1982,6.2
Авторитет,"боевик, триллер",Райан Комбс,США,2008,5
Авторитет,"blaxploitation, драма, боевик",Эрнест Дикерсон,США,1992,7
Автостоп,"мелодрама, комедийная драма",Никита Михалков,"Италия, СССР, Швейцария",1990,6
Авторитеты,супергеройский фильм,,США,,
Автостопом по галактике,"приключенческий фильм, комедия, фантастика",Гарт Дженнингс,"Великобритания, США",2005,6.7
Автострада,"фильм ужасов, триллер, мистика",Мик Гаррис,США,1997,4.9
Агент,боевик,Аарон Норрис,США,1991,5.3
Агата,"драма, /, триллер",Майкл Эптед,Великобритания,1979,6.2
Агент Джонни Инглиш,"комедия, боевик",Питер Хауитт,"Великобритания, Франция, США",2003,6.3
Агент Джонни Инглиш 3.0,"комедия, пародия, боевик",Дэвид Керр,"Великобритания, Франция",2018,6.2
Агент Ева,"боевик, триллер, драма, криминал, детектив",Тейт Тейлор,США,2020,5.5
Агент Картер,"короткометражка, боевик, приключения, научная фантастика",Луис Д'Эспозито,США,2013,7.4
Агент Коди Бэнкс,"комедия, пародия, боевик",Харальд Цварт,США,2003,5.2
Агент особого назначения,Детектив,Константин Статский,Россия,2010,7.4
Агент по имени Далила,триллер,Ричард Франклин,США,1992,4.8
Агент по кличке Спот,"боевик, /, комедия",Джон Уайтселл,США,2001,5.4
Агент секретной службы,"детектив, шпионский, драма",Ион Скутельник,СССР,1978,6.6
Агент под прикрытием,"криминальный, комедийный боевик",Том Воган,США,2013,5
Агенты А.Н.К.Л.,Комедийный боевик,Гай Ричи,США,2015,7.2
Агент-невидимка,"фильм ужасов, фантастический фильм",Эдвин Л.,США,1942,5.9
Агенты КГБ тоже влюбляются,комедия положений,Себастьян Аларкон,СССР,1991,5.4
Агенты казначейства,нуар,Энтони Манн,США,1947,6.9
Агенты Сокол и Снеговик,"драма, /, триллер",Джон Шлезингер,"Великобритания, США",1985,6.8
"Агирре, гнев божий","драма, приключения",Вернер Херцог,ФРГ,1972,7.8
Агитбригада «Бей врага!»,"комедия, драма",Виталий Мельников,Россия,2007,6.8
Агнесса Божья,"драма, триллер",Норман Джуисон,США,1985,6.6
Агнец,фолк-хоррор,Вальдимар Йоханнссон,"Исландия, Швеция, Польша",2021,6.3
Агония,"исторический фильм, драма",Элем Климов,СССР,1981,7
Агрессивные дамочки,"комедия, пародия",Джули Браун,США,1994,4.4
Агора,"биография, драма, приключения, история, пеплум",Алехандро Аменабар,"Испания, Мальта, Португалия, Франция, США",2009,7.1
Агро Дрифт,"боевик, и, экспериментальный кинематограф",Хармони Корин,США,2023,5.6
Ад — это город,криминальный фильм,Вэл Гест,Великобритания,1960,7
Ад,"немое кино, драма, фильм ужасов, и, фэнтези",Джузеппе де,Италия,1911,7.1
Ад,драма,Клод Шаброль,Франция,1994,7
Ад,"криминальная, драма, чёрный юмор",Луис Эстрада,Мексика,2010,7.7
Ад в заливе Фриско,Фильм нуар,Фрэнк Таттл,США,1956,6.4
Ад в поднебесье,фильм-катастрофа,Джон Гиллермин,США,1974,7
Ад в Тихом океане,"приключенческий фильм, боевик",Джон Бурмен,США,1968,7.2
Ад живых мертвецов,фильм ужасов,Бруно Маттеи,"Италия, Испания",1980,4.8
Ад и небо,"Фантастическая, комедия",Станислав Ружевич,Польша,1966,6.8
Ад каннибалов,фильм о каннибалах,Руджеро Деодато,Италия,1980,5.8
Ад каннибалов 3,"Ужасы, Приключения",Руджеро Деодато,Италия,1977,5.9
Ад по соседству,"драма, фильм ужасов, и, фильм-триллер",Дэвид Мармор,США,2019,5.8
"Ад, или Досье на самого себя",драма,Геннадий Беглов,СССР,1989,6.4
Ад Танжера,драма,Франк Ван,Бельгия,2006,7.1
Адажио,"polar, криминальный фильм, и, фильм-триллер",Стефано Соллима,Италия,2023,6.6
Ада! Это же неудобно!,комедия,Конрад Том,Польша,1936,6.6
Адам женится на Еве,"драма, и, комедия",Виктор Абросимович,СССР,1980,6.3
Адам,"драма, мелодрама",Макс Майер,США,2009,7.1
Адам и Стив,комедия,Крэйг Честер,США,2005,5.8
Адам и Хева,комедия,Алексей Коренев,СССР,1969,7.3
Адам хочет быть человеком,драма,Витаутас Жалакявичюс,СССР,1959,7.1
Адамовы яблоки,"комедия, драма, криминальный фильм",Андерс Томас,"Дания, Германия",2005,7.7
Адаптация,"трагикомедия, Музыка к фильму",Спайк Джонз,США,2002,7.7
Адвокат,драма,Уильям Уайлер,США,1933,7.5
Адвокат,"драма, детектив",Искандер Хамраев,СССР,1990,7.7
Адвокат дьявола,"ужасы, триллер, драма",Тейлор Хэкфорд,США,1997,7.5
Адвокат,драма,Ян Усок,Республика Корея,2013,7.7
Адела ещё не ужинала,"Кинокомедия, детектив",Олдржих Липский,Чехословакия,1977,7.4
Адемай на пограничном посту,комедия,Поль Коллин,Франция,1950,6
Аджами,драма,Скандар Копти,"Израиль, Германия",2009,7.2
Административная власть,"романтический фильм, и, драма",Роберт Уайз,США,1954,7.4
Адмирал,"байопик, военный фильм, исторический фильм, драма",Роэль Рейн,Нидерланды,2015,7
Адмирал Нахимов,историко-биографический,Всеволод Пудовкин,СССР,1946,6.5
Адмиралъ,"исторический, военный, приключенческий, мелодрама, драма",Андрей Кравчук,Россия,2008,6.6
Адмирал Ушаков,историко-биографический,Михаил Ромм,СССР,1953,7.2
Адрес вашего дома,"военная, драма, приключения",Евгений Хринюк,СССР,1972,6.3
Адреналин,"боевик, триллер, криминал, чёрная комедия",Марк Невелдайн,США,2006,6.9
Адрес Ленина,,Владимир Петров,СССР,1929,
Адреналин,фильм ужасов,Анита Ассаль,Франция,1990,6.3
Адрес неизвестен,комедийная драма,Жан-Поль ле,Франция,1950,6.6
Адская жёнушка,комедия,Джеймс Лейн,США,1993,2.7
Адская кухня,драма,Сильвестр Сталлоне,США,1978,5.7
Адская кухня,"криминал, драма",Тони Чинчирипини,США,1998,4.6
Адская месть-2. Кровавые крылья,фильм ужасов,Джефф Барр,США,1994,4.7
Адская ночь,"ужасы, триллер",Том Де,США,1981,5.6
Адская кухня,"криминальная, драма, боевик",Андреа Берлофф,США,2019,5.6
Адская поездка,"боевик, триллер, приключения",Ларри Бишоп,США,2008,5
Адский бункер,"боевик, фильм ужасов",Стив Баркер,Великобритания,2008,5.8
Азамат,драма,,СССР,1939,
Адский ветряк,боевик,Лу Цзюньгу,Гонконг,1979,6.6
Адский котёл,фильм ужасов,Жорж Мельес,Франция,1903,6.6
Адский остров,Фильм нуар,Фил Карлсон,США,1955,5.9
Адский небоскрёб,"комедия, и, кинопародия",Шарль Немес,Франция,2001,5.8
Адский переплёт,"Фильм нуар, Триллер",Уильям Дж.,США,1957,6.3
Азарт любви,"музыкальный фильм, драма, и, боевик",Мансур Хан,Индия,2000,6.1
Азарт удачи,комедия,Билли Уайлдер,США,1966,7.2
Азартная игра,драма,Уильям Фридкин,США,1994,6.3
Азбука любви,мелодрама,Леонс Перре,США,1919,6.4
Азартные игры,"триллер, драма",Джон Франкенхаймер,США,2000,5.8
Азор,драма,Бакич Видяй,Россия,2018,
Азбука смерти,"ужасы, комедия, мистика, боевик, драма",см. ниже,США,2012,4.7
Азбука футбола,комедия,Холли Голдберг,США,1995,5.6
Азиатский связной,боевик,Дэниэл Дзирилли,"Таиланд, США",2016,3.2
Аист,"драма, притча",Валерий Жереги,СССР,1978,
Азирис Нуна,фантастика,Олег Компасов,Россия,2006,3.6
Аида,"фильм, -, опера, музыкальный фильм, драма, мелодрама",Клементе Фракасси,Италия,1953,5.3
Аида,драма,,Италия,1911,
Аин,драма,Аллен Фон,Гонконг,1983,7
Аир,"драма, и, экранизация литературного произведения",Анджей Вайда,Польша,2009,6.3
Айболит-66,"музыкальный фильм, комедия, приключения, артхаус, и, семейный фильм",Ролан Быков,СССР,1967,6.8
Айвенго,"исторический фильм, приключение",Ричард Торп,США,1952,6.8
Айна,"драма, исторический",Алты Карлиев,СССР,1959,
Айвенго,приключенческий фильм,Дуглас Кэмфилд,"США, Великобритания",1982,6.7
Айгюн,мелодрама,Кямиль Рустамбеков,"СССР, /, Азербайджанская ССР",1960,6.8
Айви,"Фильм нуар, Мелодрама",Сэм Вуд,США,1947,7
Айка,драма,Сергей Дворцевой,"Казахстан, Россия, Германия, Китай, Польша",2018,7.1
Айла,драма,Джан Улкай,"Турция, Республика Корея",2017,8.2
Айрик,мелодрама,Генрих Малян,СССР,1972,7.5
Айлин,"психологический фильм-триллер, и, экранизация романа",Уильям Олдройд,"США, Великобритания",2023,5.9
Айрис,документальный,Альберт Мэйслес,США,2014,7.1
Айрис,драма,Ричард Айр,"Великобритания, США",2001,7
Айсберг,"фильм-катастрофа, боевик, приключенческий фильм",Шейн Ван,США,2010,1.7
Айседора,драма,Карел Рейш,Великобритания,1968,6.8
Айя,"мелодрама, экранизация",Варис Брасла,СССР,1987,6.9
Айша,романтическая комедия,Раджшри Оджха,Индия,2010,5.1
Академик из Аскании,биографический фильм,Владимир Герасимов,СССР,1961,5.8
Академик Иван Павлов,"биографическая, драма",Григорий Рошаль,СССР,1949,6
Айта,"драма, триллер",Степан Бурнашёв,Россия,2022,6.7
Академия вампиров,"фэнтезийный, комедийный фильм ужасов, фэнтези, подростковый фильм, фильм о вампирах, экранизация романа, боевик, фильм-тайна, и, мелодрама",Марк Уотерс,"США, Великобритания",2014,5.4
Академия пана Кляксы,киносказка,Кшиштоф Градовский,"СССР, Польша",1983,6.8
Академия Рашмор,"комедия, драма",Уэс Андерсон,США,1998,7.6
Академия смерти,"драма, /, военный фильм",Деннис Ганзель,Германия,2004,7.4
Акваланги на дне,"детский, детектив, приключенческий фильм",Евгений Шерстобитов,СССР,1965,6.6
Акации,драма,Пабло Джорджелли,"Аргентина, Испания",2011,6.9
Аквамарин,"фэнтези, комедия, семейный фильм",Элизабет Аллен,"Австралия, США",2006,5.5
Аквамен,"супергероика, боевик, приключения, фантастика",Джеймс Ван,США,2018,6.8
Аквамен и потерянное царство,"супергероика, боевик, фантастика, приключения",Джеймс Ван,США,2023,5.6
Акванавты,Фантастика,Игорь Вознесенский,СССР,1979,5.5
Акварели,мелодрама,Дэвид Оливерас,США,2008,6.4
Акварель,драма,Отар Иоселиани,СССР,1958,6.8
"Аквариум, или Одиночество шпиона","драма, боевик",Энтони Краузе,"Германия, Польша, Украина",1996,6.6
Аквариум,драма,Андреа Арнольд,Великобритания,2009,7.3
Аккордеонист,Документальное кино,Луи Лепренс,Великобритания,1888,5.5
Аккомпаниаторша,"драма, военный фильм",Клод Миллер,Франция,1992,6.9
Аккорды долгой жизни,"биографический фильм, драма, комедия, мюзикл",Анар Рзаев,СССР,1981,8
Аккатоне,драма,Пьер Паоло,Италия,1961,7.6
"Акмаль, дракон и принцесса",сказка,Юрий Степчук,СССР,1981,5.7
Аккумулятор 1,"фантастика, комедия",Ян Сверак,Чехия,1994,7
Акробатическая смесь,"хроника, короткометражка",Макс Складановский,Германская империя,1895,5.2
Акселератка,эксцентрическая комедия,Алексей Коренев,СССР,1987,5.6
Аксели и Элина,"драма, исторический",Эдвин Лайне,Финляндия,1970,6.9
Акт,"мелодрама, и, детективный фильм",Александр Рогожкин,Россия,1993,5.3
Акт агрессии,"криминальный фильм, драма",Жерар Пирес,"Франция, Италия",1975,5.3
Акт насилия,"Фильм нуар, Драма",Фред Циннеман,США,1948,7.5
Акт убийства,"документальный, исторический",Джошуа Оппенхаймер,"Великобритания, Дания, Норвегия",2012,8.2
Актёр Йоллер,драма,Вирве Аруоя,СССР,1960,6.2
Акт убийства,Фильм нуар,Майкл Гордон,США,1948,6.9
Актёры,"комедия, криминал",Конор МакФерсон,"Великобритания, Германия, Ирландия",2003,5.8
Активная зона,драма,Леонид Пчёлкин,СССР,1979,6.3
Актёры,комедия,Бертран Блие,Франция,2000,5.9
Актриса,"мелодрама, комедия, военный фильм",Леонид Трауберг,СССР,1942,7.1
Актрисы,драма,Ли Джэ,Республика Корея,2009,7
Актриса и трансильванцы,вестерн,Мирча Верою,СР Румыния,1979,7.3
Акты насилия,"боевик, приключенческий фильм",Бретт Доноху,"Канада, США",2018,5.3
Акула-монстр,"боевик, фильм ужасов, триллер",Ламберто Бава,"Италия, Франция",1984,2.8
Акула-робот,"Фантастика, комедия, Боевик, Триллер",Джеффри Скотт,,2015,3
Акулий торнадо 3,"комедийный, научно-фантастический, фильм ужасов, фильм-катастрофа",Энтони Ферранте,США,2015,4.1
Акулий торнадо,"фильм-катастрофа, ужасы, фантастика, комедия",Энтони Ферранте,США,2013,3.3
Акулы,"боевик, фильм ужасов, триллер",Боб Мисиоровски,"США, Израиль, ЮАР",1999,3.4
Акция,военный фильм,Владимир Шамшурин,СССР,1987,6
Акулосьминог,"ужасы, фантастика, боевик, комедия",Деклан О’Брайен,США,2010,3.3
Алавердоба,притча,Георгий Шенгелая,СССР,1962,8
Аладдин,"комедия, мюзикл, фэнтези, приключения, мелодрама",Гай Ричи,США,2019,6.9
Аладдин и его волшебная лампа,"приключенческий фильм, комедия, семейный фильм, фэнтези",Тим Бёртон,США,1986,6.5
Аламо,"Драма, исторический фильм, военный фильм, вестерн",Джон Ли,США,2004,6.1
Аланис,драма,Анаи Бернери,Аргентина,2017,6.2
Алая буква,драма,Виктор Шёстрём,США,1926,7.6
Алая буква,драматический фильм,Джозеф В.,США,1911,7.4
Алая буква,"драма, /, мелодрама",Ролан Жоффе,США,1995,5.4
Алая буква,Драма,Пён Хёк,Республика Корея,2004,6.3
Алая женщина,комедия,Жан Валер,"Франция, Италия",1969,5.9
Алая буква,мелодрама,Вим Вендерс,"ФРГ, Испания",1973,5.8
Алая камелия,криминальная драма,Ёситаро Номура,Япония,1964,6.5
Алая роза,комедия,Марчелло Пальеро,Франция,1951,4.9
Алая роза,"Криминальная, драма, нуар",Умэцугу Иноуэ,Япония,1963,
Алголь,"фантастика, драма",Ханс Веркмайст,Германия,1920,6.4
Албанец,"драма, и, романтический фильм",Иоганнес Набер,"Германия, Албания",2010,7.1
Алджи-золотоискатель,"комедия, мелодрама",Эдвард Уоррен,США,1912,5.7
Алеко,фильм-опера,Сергей Сиделёв,СССР,1953,6.1
Алекс и Эмма,"комедия, /, мелодрама",Роб Райнер,США,2003,5.5
Александр,"биографическая, драма, исторический фильм, пеплум",Оливер Стоун,"Франция, Германия, Великобритания, Италия, США, Нидерланды",2004,5.6
Александр Великий,"пеплум, байопик",Роберт Россен,"США, Испания",1956,5.8
"Александр и ужасный, кошмарный, нехороший, очень плохой день","комедия, детский фильм, и, экранизация",Мигель Артета,США,2014,6.2
Александр Маленький,"драма, военный",Владимир Фокин,"СССР, ГДР",1981,7
Александр Пархоменко,Киноповесть,Леонид Луков,СССР,1942,6.9
Александр Невский,"киноэпопея, драма, военный, исторический",Сергей Эйзенштейн,СССР,1938,7.5
Александр Попов,кинобиография,Герберт Раппапорт,СССР,1949,6.9
Александр. Невская битва,"исторический фильм, боевик",Игорь Калёнов,Россия,2008,4.7
Алексеич,"новелла, киноповесть, экранизация",Людмила Салдадзе,,1970,
Александра,драма,Александр Сокуров,Россия,2007,6.8
Алёнка,комедия,Борис Барнет,СССР,1962,7.3
Алёнка из Почитанки,"комедия, мелодрама",Сергей Русаков,Россия,2014,4.1
Алёша-доброволец,драма,Б.С.Глаголин,Российская империя,1914,
Аленький цветочек,"фильм-сказка, фэнтези, романтический фильм, и, детский фильм",Ирина Поволоцкая,СССР,1978,6.7
Алёша,"драма, мелодрама",Виктор Обухов,СССР,1980,6.5
Алёша Птицын вырабатывает характер,"комедия, детский",Анатолий Граник,СССР,1953,6.6
Алёшкина охота,Киноповесть,Яков Базелян,СССР,1965,5.9
Алёшкина любовь,Мелодрама,Семён Туманов,СССР,1960,7.5
Алжир,драма,Джон Кромвелл,США,1938,6.6
"Алжир, вид с неба",документальный фильм,Ян Артюс-Бертран,"Франция, Алжир",2015,8.4
Али,"драма, биография, спорт",Майкл Манн,США,2001,6.7
Али-Баба и сорок разбойников,"сказка, /, мюзикл, музыкальный фильм",Олег Рябоконь,СССР,1983,7.2
Али и Нино,драма,Асиф Кападиа,"Азербайджан, Великобритания",2016,6.8
Али-Баба и сорок разбойников,"приключенческий фильм, фильм-сказка",Сегундо де,Франция,1902,6.1
Али Джи в парламенте,"Фарсовая, комедия, сатира",Марк Майлод,"Великобритания, США, Франция",2002,6.2
Али-Баба против семи сарацинов,приключенческий фильм,Эмиммо Сальви,Италия,1964,4.2
Али-Баба и сорок разбойников,,Хоми Вадия,Индия,1966,6.5
"Али, рули!","боевик, комедия, бадди-муви",Майкл Даус,США,2019,6.2
Алим — крымский разбойник,драма,Вячеслав Висковский,Российская империя,1914,
Алиби,криминальный фильм,Роланд Уэст,США,1929,5.6
Алиби,детектив,Лесли Хискотт,Великобритания,1931,7.4
Алиби,"фильм-тайна, и, криминальный фильм",Пьер Шеналь,Франция,1937,6.7
Алиби,"комедия, драма, мелодрама",Мэтт Чековски,США,2006,6.3
Алим,"немое кино, и, драма",Георгий Тасин,СССР,1926,6.1
Алиса,драма,Sylvie Ballyot,"Франция, Великобритания",2002,5.3
Алиса,криминальный фильм,Дидье Гольдшмидт,Франция,1998,5.2
Алиби Сокола,"Детективный фильм, Комедия",Рэй Маккэйри,США,1946,6.4
Алиса в городах,драма,Вим Вендерс,ФРГ,1974,7.8
Алиса в Зазеркалье,"фэнтези, приключения, семейный",Джон Хендерсон,"Великобритания, Алиса, Белый Кролик, Болванщик, Герцогиня, Грифон, Гусеница, Додо, Мартовский Заяц, Мышь, Мэри-Энн, Пэт, Робин-Гусь, Соня, Червонная Королева, Червонный Король, Червонный Валет, Черепаха Квази, Чеширский Кот, Щенок, Ящерка Билль",1998,5.3
Алиса в Зазеркалье,"фэнтези, приключения, семейный фильм, оркестровая музыка, поп-рок",Джеймс Бобин,"США, Алиса, Белый Кролик, Болванщик, Герцогиня, Грифон, Гусеница, Додо, Мартовский Заяц, Мышь, Мэри-Энн, Пэт, Робин-Гусь, Соня, Червонная Королева, Червонный Король, Червонный Валет, Черепаха Квази, Чеширский Кот, Щенок, Ящерка Билль",2016,6.2
Алиса в Стране чудес,фэнтези,Сесиль Хепуорт,"Великобритания, Алиса, Белый Кролик, Болванщик, Герцогиня, Грифон, Гусеница, Додо, Мартовский Заяц, Мышь, Мэри-Энн, Пэт, Робин-Гусь, Соня, Червонная Королева, Червонный Король, Червонный Валет, Черепаха Квази, Чеширский Кот, Щенок, Ящерка Билль",1903,6.2
Алиса в Стране чудес,фэнтези,В.В. Янг,"Алиса, Белый Кролик, Болванщик, Герцогиня, Грифон, Гусеница, Додо, Мартовский Заяц, Мышь, Мэри-Энн, Пэт, Робин-Гусь, Соня, Червонная Королева, Червонный Король, Червонный Валет, Черепаха Квази, Чеширский Кот, Щенок, Ящерка Билль",1915,6.1
Алиса в Стране чудес,детский,Норман Маклеод,"США, Алиса, Белый Кролик, Болванщик, Герцогиня, Грифон, Гусеница, Додо, Мартовский Заяц, Мышь, Мэри-Энн, Пэт, Робин-Гусь, Соня, Червонная Королева, Червонный Король, Червонный Валет, Черепаха Квази, Чеширский Кот, Щенок, Ящерка Билль",1933,6.3
Алиса в Стране чудес,"порнографический, музыкальный",Бад Таунсенд,"США, Алиса, Белый Кролик, Болванщик, Герцогиня, Грифон, Гусеница, Додо, Мартовский Заяц, Мышь, Мэри-Энн, Пэт, Робин-Гусь, Соня, Червонная Королева, Червонный Король, Червонный Валет, Черепаха Квази, Чеширский Кот, Щенок, Ящерка Билль",1976,6.2
Алиса в Стране чудес,семейный фильм,Уильям Стерлинг,"Великобритания, Алиса, Белый Кролик, Болванщик, Герцогиня, Грифон, Гусеница, Додо, Мартовский Заяц, Мышь, Мэри-Энн, Пэт, Робин-Гусь, Соня, Червонная Королева, Червонный Король, Червонный Валет, Черепаха Квази, Чеширский Кот, Щенок, Ящерка Билль",1972,5.7
Алиса в Стране чудес,"приключенческий фильм, семейный фильм, фэнтези",Гарри Харрис,"США, Алиса, Белый Кролик, Болванщик, Герцогиня, Грифон, Гусеница, Додо, Мартовский Заяц, Мышь, Мэри-Энн, Пэт, Робин-Гусь, Соня, Червонная Королева, Червонный Король, Червонный Валет, Черепаха Квази, Чеширский Кот, Щенок, Ящерка Билль",1985,7.3
Алиса в Стране чудес,"фэнтези, семейный фильм, приключенческий фильм",Ник Уиллинг,"США, Германия, Великобритания, Алиса, Белый Кролик, Болванщик, Герцогиня, Грифон, Гусеница, Додо, Мартовский Заяц, Мышь, Мэри-Энн, Пэт, Робин-Гусь, Соня, Червонная Королева, Червонный Король, Червонный Валет, Черепаха Квази, Чеширский Кот, Щенок, Ящерка Билль",1999,6.3
Алиса в Стране чудес,"готика, тёмное фэнтези, приключения, Оркестр, классическая музыка, поп-музыка",Тим Бёртон,"США, Алиса, Белый Кролик, Болванщик, Герцогиня, Грифон, Гусеница, Додо, Мартовский Заяц, Мышь, Мэри-Энн, Пэт, Робин-Гусь, Соня, Червонная Королева, Червонный Король, Червонный Валет, Черепаха Квази, Чеширский Кот, Щенок, Ящерка Билль",2010,6.4
Алиса в Стране чудес,"фильм-сказка, мюзикл",Юрий Хмельницкий,"Россия, Алиса, Белый Кролик, Болванщик, Герцогиня, Грифон, Гусеница, Додо, Мартовский Заяц, Мышь, Мэри-Энн, Пэт, Робин-Гусь, Соня, Червонная Королева, Червонный Король, Червонный Валет, Черепаха Квази, Чеширский Кот, Щенок, Ящерка Билль",2025,3.9
Алиса здесь больше не живёт,"драма, романтика, трагикомедия",Мартин Скорсезе,США,1974,7.3
Алиса и Букинист,"мелодрама, приключения",Алексей Рудаков,Россия,1992,4
Алиса и укус пчелы,кинокомедия,Уолт Дисней,США,1925,4.9
